Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      352     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::operator[](unsigned long)
  0.00      0.00     0.00      286     0.00     0.00  __gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > >::__normal_iterator(Status* const&)
  0.00      0.00     0.00      272     0.00     0.00  std::vector<Status, std::allocator<Status> >::size() const
  0.00      0.00     0.00      255     0.00     0.00  std::vector<Status, std::allocator<Status> >::operator[](unsigned long)
  0.00      0.00     0.00      142     0.00     0.00  std::vector<Status, std::allocator<Status> >::end()
  0.00      0.00     0.00      136     0.00     0.00  __gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > >::operator*() const
  0.00      0.00     0.00      136     0.00     0.00  __gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > >::operator-(long) const
  0.00      0.00     0.00      136     0.00     0.00  std::vector<Status, std::allocator<Status> >::back()
  0.00      0.00     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >::__normal_iterator(Status const* const&)
  0.00      0.00     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >::base() const
  0.00      0.00     0.00       63     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
  0.00      0.00     0.00       59     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00      0.00     0.00       50     0.00     0.00  std::_Iter_base<Edge*, false>::_S_base(Edge*)
  0.00      0.00     0.00       48     0.00     0.00  std::vector<Status, std::allocator<Status> >::end() const
  0.00      0.00     0.00       48     0.00     0.00  std::vector<Status, std::allocator<Status> >::begin() const
  0.00      0.00     0.00       46     0.00     0.00  std::_Iter_base<Status*, false>::_S_base(Status*)
  0.00      0.00     0.00       40     0.00     0.00  bool __gnu_cxx::operator==<Status const*, std::vector<Status, std::allocator<Status> > >(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > > const&, __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > > const&)
  0.00      0.00     0.00       40     0.00     0.00  std::vector<Status, std::allocator<Status> >::empty() const
  0.00      0.00     0.00       39     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       30     0.00     0.00  std::_Niter_base<Edge*>::iterator_type std::__niter_base<Edge*>(Edge*)
  0.00      0.00     0.00       30     0.00     0.00  std::_Niter_base<Status*>::iterator_type std::__niter_base<Status*>(Status*)
  0.00      0.00     0.00       29     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<Status>::destroy(Status*)
  0.00      0.00     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<Status>::construct(Status*, Status const&)
  0.00      0.00     0.00       26     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Status> >::destroy(std::allocator<Status>&, Status*)
  0.00      0.00     0.00       26     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<Status> >::construct<Status>(std::allocator<Status>&, Status*, Status const&)
  0.00      0.00     0.00       26     0.00     0.00  std::vector<Status, std::allocator<Status> >::pop_back()
  0.00      0.00     0.00       26     0.00     0.00  std::vector<Status, std::allocator<Status> >::push_back(Status const&)
  0.00      0.00     0.00       25     0.00     0.00  Tsp::ishroute()
  0.00      0.00     0.00       25     0.00     0.00  __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >::base() const
  0.00      0.00     0.00       24     0.00     0.00  std::vector<Path, std::allocator<Path> >::operator[](unsigned long)
  0.00      0.00     0.00       22     0.00     0.00  edge_weight_compare(Edge const&, Edge const&)
  0.00      0.00     0.00       21     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::size() const
  0.00      0.00     0.00       20     0.00     0.00  std::_Miter_base<Edge*>::iterator_type std::__miter_base<Edge*>(Edge*)
  0.00      0.00     0.00       19     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<Status*, std::vector<Status, std::allocator<Status> > >::base() const
  0.00      0.00     0.00       17     0.00     0.00  __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >::__normal_iterator(Path* const&)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<Status>::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >)
  0.00      0.00     0.00       16     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >)
  0.00      0.00     0.00       16     0.00     0.00  Status* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Status>(Status const*, Status const*, Status*)
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > > >(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >)
  0.00      0.00     0.00       16     0.00     0.00  std::_Miter_base<Status*>::iterator_type std::__miter_base<Status*>(Status*)
  0.00      0.00     0.00       16     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > > >(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<Edge>::max_size() const
  0.00      0.00     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator--()
  0.00      0.00     0.00       13     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<bool (*)(Edge const&, Edge const&)>::operator()<Edge, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(Edge&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00      0.00     0.00       13     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Status*>(Status*, Status*)
  0.00      0.00     0.00       13     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_M_deallocate(Status*, unsigned long)
  0.00      0.00     0.00       13     0.00     0.00  void std::_Destroy<Status*>(Status*, Status*)
  0.00      0.00     0.00       13     0.00     0.00  void std::_Destroy<Status*, Status>(Status*, Status*, std::allocator<Status>&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       11     0.00     0.00  bool __gnu_cxx::operator!=<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<Path, std::allocator<Path> >::size() const
  0.00      0.00     0.00       11     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<Edge>::construct(Edge*, Edge const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Edge> >::max_size(std::allocator<Edge> const&)
  0.00      0.00     0.00       10     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<Edge> >::construct<Edge>(std::allocator<Edge>&, Edge*, Edge const&)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Edge>(Edge const*, Edge const*, Edge*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::__uninitialized_copy<true>::__uninit_copy<Edge*, Edge*>(Edge*, Edge*, Edge*)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::push_back(Edge const&)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::__copy_move_a<false, Edge*, Edge*>(Edge*, Edge*, Edge*)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::__copy_move_a2<false, Edge*, Edge*>(Edge*, Edge*, Edge*)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::uninitialized_copy<Edge*, Edge*>(Edge*, Edge*, Edge*)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::__uninitialized_copy_a<Edge*, Edge*, Edge>(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::__uninitialized_move_if_noexcept_a<Edge*, Edge*, std::allocator<Edge> >(Edge*, Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.00     0.00       10     0.00     0.00  Edge* std::copy<Edge*, Edge*>(Edge*, Edge*, Edge*)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator++()
  0.00      0.00     0.00        9     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(Edge const&, Edge const&)>::operator()<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00      0.00     0.00        9     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00      0.00     0.00        9     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Status>::deallocate(Status*, unsigned long)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Status>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Status> >::deallocate(std::allocator<Status>&, Status*, unsigned long)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Status> >::allocate(std::allocator<Status>&, unsigned long)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Status> >::max_size(std::allocator<Status> const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Path*, std::vector<Path, std::allocator<Path> > >::operator*() const
  0.00      0.00     0.00        8     0.00     0.00  std::vector<Status, std::allocator<Status> >::max_size() const
  0.00      0.00     0.00        8     0.00     0.00  Status* std::__uninitialized_copy<true>::__uninit_copy<Status*, Status*>(Status*, Status*, Status*)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::__copy_move_a<false, Status*, Status*>(Status*, Status*, Status*)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::__copy_move_a<false, Status const*, Status*>(Status const*, Status const*, Status*)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::__copy_move_a2<false, Status*, Status*>(Status*, Status*, Status*)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::uninitialized_copy<Status*, Status*>(Status*, Status*, Status*)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::__uninitialized_copy_a<Status*, Status*, Status>(Status*, Status*, Status*, std::allocator<Status>&)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::__uninitialized_move_if_noexcept_a<Status*, Status*, std::allocator<Status> >(Status*, Status*, Status*, std::allocator<Status>&)
  0.00      0.00     0.00        8     0.00     0.00  Status* std::copy<Status*, Status*>(Status*, Status*, Status*)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Status>::~new_allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::allocator<Status>::~allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Path, std::allocator<Path> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Status, std::allocator<Status> >::~_Vector_base()
  0.00      0.00     0.00        7     0.00     0.00  std::vector<Path, std::allocator<Path> >::end()
  0.00      0.00     0.00        7     0.00     0.00  std::vector<Status, std::allocator<Status> >::~vector()
  0.00      0.00     0.00        6     0.00     0.00  Path::~Path()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(Edge const&, Edge const&)>::_Val_comp_iter(bool (*)(Edge const&, Edge const&))
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<bool (*)(Edge const&, Edge const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(Edge const&, Edge const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(Edge const&, Edge const&)>)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Path>::max_size() const
  0.00      0.00     0.00        6     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Edge*>(Edge*, Edge*)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long)
  0.00      0.00     0.00        6     0.00     0.00  Status* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, Status*>(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, Status*)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end()
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Status, std::allocator<Status> >::begin()
  0.00      0.00     0.00        6     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
  0.00      0.00     0.00        6     0.00     0.00  Status* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, Status*>(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, Status*)
  0.00      0.00     0.00        6     0.00     0.00  Status* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, Status*>(__gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, __gnu_cxx::__normal_iterator<Status const*, std::vector<Status, std::allocator<Status> > >, Status*)
